,A,B
3,Q-Tip (musician),Ali Shaheed Muhammad
4,Q-Tip (musician),Apache (rapper)
5,Q-Tip (musician),Tupac Shakur
6,Q-Tip (musician),Nas
7,Q-Tip (musician),Nas
8,Q-Tip (musician),Craig Mack
9,Q-Tip (musician),Buckshot (rapper)
10,Q-Tip (musician),Busta Rhymes
11,Q-Tip (musician),Busta Rhymes
12,Q-Tip (musician),Large Professor
13,Q-Tip (musician),Jay-Z
14,Q-Tip (musician),Cordae
15,Q-Tip (musician),Eve (rapper)
0,Queen Latifah,Ice Cube
1,Queen Latifah,Lil' Kim
2,Queen Latifah,Lil' Kim
3,Queen Latifah,Lil' Kim
4,Queen Latifah,Jill Scott (singer)
5,Queen Latifah,Jill Scott (singer)
6,Queen Latifah,Jill Scott (singer)
7,Queen Latifah,Will Smith
8,Queen Latifah,Macklemore
9,Queen Latifah,KRS-One
10,Queen Latifah,Foxy Brown (rapper)
11,Queen Latifah,Foxy Brown (rapper)
12,Queen Latifah,Queen Pen
13,Queen Latifah,Eve (rapper)
14,Queen Latifah,Remy Ma
15,Queen Latifah,The Notorious B.I.G.
0,Queen Pen,Dr. Dre
1,Queen Pen,Foxy Brown (rapper)
2,Queen Pen,Queen Latifah
3,Queen Pen,N.O.R.E.
4,Queen Pen,Cam'ron
5,Queen Pen,Kurupt
0,Radamiz,Statik Selektah
1,Radamiz,Statik Selektah
2,Radamiz,Nas
3,Radamiz,Ab-Soul
4,Radamiz,Ab-Soul
5,Radamiz,Dash (rapper)
6,Radamiz,Dash (rapper)
0,Rah Swish,Pop Smoke
1,Rah Swish,Pop Smoke
2,Rah Swish,Pop Smoke
3,Rah Swish,Pop Smoke
4,Rah Swish,Pop Smoke
5,Rah Swish,Pop Smoke
6,Rah Swish,50 Cent
7,Rah Swish,Jay-Z
8,Rah Swish,The Notorious B.I.G.
9,Rah Swish,Dusty Locane
10,Rah Swish,Dusty Locane
11,Rah Swish,Dusty Locane
12,Rah Swish,Dusty Locane
13,Rah Swish,Dusty Locane
14,Rah Swish,Fivio Foreign
15,Rah Swish,Fivio Foreign
16,Rah Swish,Don Q (rapper)
17,Rah Swish,Fetty Wap
18,Rah Swish,Sleepy Hallow
19,Rah Swish,Sheff G
0,Rakim,Kool Moe Dee
1,Rakim,Eric B.
2,Rakim,Marley Marl
3,Rakim,Large Professor
4,Rakim,Dr. Dre
5,Rakim,Dr. Dre
6,Rakim,Dr. Dre
7,Rakim,Jay-Z
8,Rakim,Jay-Z
9,Rakim,Jake One
10,Rakim,Ali Shaheed Muhammad
11,Rakim,KRS-One
12,Rakim,KRS-One
13,Rakim,GZA
14,Rakim,Ghostface Killah
15,Rakim,Nas
16,Rakim,The Notorious B.I.G.
17,Rakim,50 Cent
0,Kyle Rapps,Kosha Dillz
1,Kyle Rapps,Kosha Dillz
2,Kyle Rapps,KRS-One
3,Kyle Rapps,KRS-One
4,Kyle Rapps,KRS-One
5,Kyle Rapps,KRS-One
6,Kyle Rapps,KRS-One
7,Kyle Rapps,Action Bronson
8,Kyle Rapps,Action Bronson
9,Kyle Rapps,Action Bronson
10,Kyle Rapps,Action Bronson
11,Kyle Rapps,Murs (rapper)
12,Kyle Rapps,Murs (rapper)
13,Kyle Rapps,Murs (rapper)
14,Kyle Rapps,Murs (rapper)
15,Kyle Rapps,Mr. Muthafuckin' eXquire
16,Kyle Rapps,Mr. Muthafuckin' eXquire
17,Kyle Rapps,Mr. Muthafuckin' eXquire
18,Kyle Rapps,Mr. Muthafuckin' eXquire
19,Kyle Rapps,Fat Joe
20,Kyle Rapps,Talib Kweli
21,Kyle Rapps,Talib Kweli
22,Kyle Rapps,Talib Kweli
23,Kyle Rapps,Joell Ortiz
24,Kyle Rapps,Joell Ortiz
25,Kyle Rapps,Joell Ortiz
0,Hell Razah,Talib Kweli
1,Hell Razah,Ras Kass
2,Hell Razah,Crooked I
3,Hell Razah,Ill Bill
0,Oryn the Rebel,Grandmaster Caz
1,Oryn the Rebel,Shock G
0,Red Café,Fabolous
1,Red Café,Fabolous
2,Red Café,Fabolous
3,Red Café,Fabolous
4,Red Café,Sean Combs
5,Red Café,Mack 10
6,Red Café,Remy Ma
7,Red Café,French Montana
8,Red Café,The Game (rapper)
0,Redman (rapper),Method Man
1,Redman (rapper),Method Man
2,Redman (rapper),Method Man
3,Redman (rapper),Erick Sermon
0,Reks,Statik Selektah
1,Reks,Termanology
2,Reks,Termanology
3,Reks,Action Bronson
4,Reks,Slaine (rapper)
5,Reks,DJ Premier
6,Reks,Styles P
7,Reks,N.O.R.E.
0,Salaam Remi,Nas
1,Salaam Remi,Nas
2,Salaam Remi,Nas
3,Salaam Remi,Nas
4,Salaam Remi,Nas
5,Salaam Remi,Nas
6,Salaam Remi,Nas
7,Salaam Remi,Nas
8,Salaam Remi,Nas
9,Salaam Remi,Nas
10,Salaam Remi,Nas
11,Salaam Remi,Nas
12,Salaam Remi,Nas
13,Salaam Remi,Nas
14,Salaam Remi,Nas
15,Salaam Remi,Nas
16,Salaam Remi,Nas
17,Salaam Remi,Nas
18,Salaam Remi,Nas
19,Salaam Remi,Nas
20,Salaam Remi,Nas
21,Salaam Remi,Nas
22,Salaam Remi,Nas
23,Salaam Remi,Nas
24,Salaam Remi,Nas
25,Salaam Remi,Nas
26,Salaam Remi,Nas
27,Salaam Remi,Nas
28,Salaam Remi,Nas
29,Salaam Remi,Nas
30,Salaam Remi,Nas
31,Salaam Remi,Nas
32,Salaam Remi,Nas
33,Salaam Remi,Nas
34,Salaam Remi,Black Thought
35,Salaam Remi,Black Thought
36,Salaam Remi,Black Thought
37,Salaam Remi,Black Thought
38,Salaam Remi,Black Thought
39,Salaam Remi,Black Thought
40,Salaam Remi,Black Thought
41,Salaam Remi,Black Thought
42,Salaam Remi,Black Thought
43,Salaam Remi,Black Thought
44,Salaam Remi,Joell Ortiz
45,Salaam Remi,Joell Ortiz
46,Salaam Remi,Joell Ortiz
47,Salaam Remi,Joell Ortiz
48,Salaam Remi,Joell Ortiz
49,Salaam Remi,Joell Ortiz
50,Salaam Remi,Terrace Martin
51,Salaam Remi,Terrace Martin
52,Salaam Remi,Terrace Martin
53,Salaam Remi,Terrace Martin
54,Salaam Remi,Terrace Martin
55,Salaam Remi,Terrace Martin
56,Salaam Remi,Terrace Martin
57,Salaam Remi,Terrace Martin
58,Salaam Remi,Busta Rhymes
59,Salaam Remi,Busta Rhymes
60,Salaam Remi,Busta Rhymes
61,Salaam Remi,Doug E. Fresh
62,Salaam Remi,Doug E. Fresh
63,Salaam Remi,Doug E. Fresh
64,Salaam Remi,Doug E. Fresh
65,Salaam Remi,Doug E. Fresh
66,Salaam Remi,Doug E. Fresh
67,Salaam Remi,D-Nice
68,Salaam Remi,D-Nice
69,Salaam Remi,Biz Markie
70,Salaam Remi,Biz Markie
71,Salaam Remi,Biz Markie
72,Salaam Remi,Kool G Rap
73,Salaam Remi,Pras
74,Salaam Remi,Queen Pen
75,Salaam Remi,Canibus
76,Salaam Remi,Canibus
77,Salaam Remi,Canibus
78,Salaam Remi,Snoop Dogg
79,Salaam Remi,Method Man
80,Salaam Remi,ASAP Ferg
81,Salaam Remi,ASAP Ferg
82,Salaam Remi,Berner (rapper)
83,Salaam Remi,Bodega Bamz
84,Salaam Remi,Bodega Bamz
85,Salaam Remi,Bodega Bamz
86,Salaam Remi,Bodega Bamz
87,Salaam Remi,Bodega Bamz
88,Salaam Remi,Bodega Bamz
89,Salaam Remi,Conway the Machine
0,Busta Rhymes,The Notorious B.I.G.
1,Busta Rhymes,The Notorious B.I.G.
2,Busta Rhymes,The Notorious B.I.G.
3,Busta Rhymes,Jay-Z
4,Busta Rhymes,Big Daddy Kane
5,Busta Rhymes,Big Daddy Kane
6,Busta Rhymes,KRS-One
7,Busta Rhymes,Ice Cube
8,Busta Rhymes,Sean Combs
9,Busta Rhymes,Craig Mack
10,Busta Rhymes,Coolio
11,Busta Rhymes,Ol' Dirty Bastard
12,Busta Rhymes,Nas
13,Busta Rhymes,Nas
14,Busta Rhymes,Dr. Dre
15,Busta Rhymes,Swizz Beatz
16,Busta Rhymes,Ron Browz
17,Busta Rhymes,Ron Browz
18,Busta Rhymes,Asher Roth
19,Busta Rhymes,DJ Premier
20,Busta Rhymes,N.O.R.E.
21,Busta Rhymes,Heavy D
22,Busta Rhymes,Fat Joe
23,Busta Rhymes,Jadakiss
24,Busta Rhymes,Black Thought
25,Busta Rhymes,Joell Ortiz
26,Busta Rhymes,Kendrick Lamar
27,Busta Rhymes,Kendrick Lamar
28,Busta Rhymes,Rakim
29,Busta Rhymes,Q-Tip (musician)
30,Busta Rhymes,Talib Kweli
31,Busta Rhymes,"Tyler, the Creator"
0,Chubb Rock,O.C. (rapper)
1,Chubb Rock,Coolio
2,Chubb Rock,Fat Joe
3,Chubb Rock,Ed O.G.
4,Chubb Rock,Black Rob
5,Chubb Rock,Nas
6,Chubb Rock,Special K (rapper)
0,Rockwilder,Redman (rapper)
1,Rockwilder,Redman (rapper)
2,Rockwilder,Redman (rapper)
3,Rockwilder,Method Man
4,Rockwilder,Busta Rhymes
5,Rockwilder,Busta Rhymes
6,Rockwilder,Erick Sermon
7,Rockwilder,Erick Sermon
8,Rockwilder,Jay-Z
9,Rockwilder,Jay-Z
10,Rockwilder,Xzibit
11,Rockwilder,Xzibit
12,Rockwilder,Lil' Kim
13,Rockwilder,Nas
0,ASAP Rocky,Kendrick Lamar
1,ASAP Rocky,Kendrick Lamar
2,ASAP Rocky,ASAP Nast
3,ASAP Rocky,Schoolboy Q
4,ASAP Rocky,Schoolboy Q
5,ASAP Rocky,Schoolboy Q
6,ASAP Rocky,ASAP Ferg
7,ASAP Rocky,ASAP Ferg
8,ASAP Rocky,Danger Mouse (musician)
9,ASAP Rocky,Emile Haynie
10,ASAP Rocky,"Tyler, the Creator"
11,ASAP Rocky,"Tyler, the Creator"
12,ASAP Rocky,"Tyler, the Creator"
13,ASAP Rocky,French Montana
14,ASAP Rocky,RZA
15,ASAP Rocky,Casanova (rapper)
16,ASAP Rocky,Teyana Taylor
0,Roscoe (rapper),Kurupt
1,Roscoe (rapper),Kurupt
2,Roscoe (rapper),Kurupt
3,Roscoe (rapper),Nate Dogg
4,Roscoe (rapper),Daz Dillinger
5,Roscoe (rapper),Xzibit
6,Roscoe (rapper),Kendrick Lamar
7,Roscoe (rapper),Jahlil Beats
8,Roscoe (rapper),Jake One
9,Roscoe (rapper),Just Blaze
10,Roscoe (rapper),Statik Selektah
0,Asher Roth,Don Cannon
1,Asher Roth,DJ Drama
2,Asher Roth,Charles Hamilton (rapper)
3,Asher Roth,Cory Gunz
4,Asher Roth,Mickey Factz
5,Asher Roth,Swizz Beatz
6,Asher Roth,Pete Rock
7,Asher Roth,Jay-Z
8,Asher Roth,Jay-Z
0,David Rush (rapper),Redfoo
0,RZA,GZA
1,RZA,GZA
2,RZA,Ol' Dirty Bastard
3,RZA,Ol' Dirty Bastard
4,RZA,9th Prince
5,RZA,Inspectah Deck
6,RZA,Inspectah Deck
7,RZA,Method Man
8,RZA,Masta Killa
9,RZA,Prince Paul (producer)
10,RZA,Mathematics (producer)
11,RZA,Nas
12,RZA,Busta Rhymes
13,RZA,Talib Kweli
14,RZA,Earl Sweatshirt
15,RZA,Just Blaze
16,RZA,DJ Scratch
0,Sadat X,Buckwild (music producer)
1,Sadat X,Buckwild (music producer)
2,Sadat X,Ill Bill
3,Sadat X,Ill Bill
4,Sadat X,The Notorious B.I.G.
5,Sadat X,The Notorious B.I.G.
6,Sadat X,Biz Markie
7,Sadat X,Fat Joe
8,Sadat X,Kurupt
9,Sadat X,Pete Rock
10,Sadat X,Sir Jinx
11,Sadat X,Marley Marl
12,Sadat X,Ed O.G.
0,Saga (rapper),Roc Marciano
1,Saga (rapper),The Alchemist (musician)
2,Saga (rapper),Exile (producer)
0,Saigon (rapper),DJ Kay Slay
1,Saigon (rapper),Just Blaze
2,Saigon (rapper),Just Blaze
3,Saigon (rapper),Statik Selektah
4,Saigon (rapper),Jay-Z
5,Saigon (rapper),Kool G Rap
6,Saigon (rapper),Prodigy (rapper)
7,Saigon (rapper),Havoc (musician)
0,Salt (rapper),MC Lyte
0,Juelz Santana,Cam'ron
1,Juelz Santana,Cam'ron
2,Juelz Santana,Memphis Bleek
3,Juelz Santana,Freekey Zekey
4,Juelz Santana,Jay-Z
5,Juelz Santana,Hell Rell
6,Juelz Santana,Just Blaze
7,Juelz Santana,Fabolous
8,Juelz Santana,Meek Mill
9,Juelz Santana,Wiz Khalifa
0,Sauce Money,Jay-Z
1,Sauce Money,Jay-Z
2,Sauce Money,Jaz-O
3,Sauce Money,Big Daddy Kane
4,Sauce Money,Big Daddy Kane
5,Sauce Money,DJ Kay Slay
6,Sauce Money,DJ Kay Slay
7,Sauce Money,Ol' Dirty Bastard
8,Sauce Money,DJ Premier
9,Sauce Money,Beanie Sigel
10,Sauce Money,Ghostface Killah
11,Sauce Money,Redman (rapper)
12,Sauce Money,Kool G Rap
13,Sauce Money,Crooked I
14,Sauce Money,AZ (rapper)
15,Sauce Money,Styles P
16,Sauce Money,Black Thought
17,Sauce Money,Busta Rhymes
18,Sauce Money,Sheek Louch
19,Sauce Money,Joell Ortiz
20,Sauce Money,E-40
21,Sauce Money,Grandmaster Caz
22,Sauce Money,Coke La Rock
23,Sauce Money,Melle Mel
24,Sauce Money,Ice-T
25,Sauce Money,McGruff (rapper)
0,Scar Lip,DMX
1,Scar Lip,Swizz Beatz
2,Scar Lip,Swizz Beatz
3,Scar Lip,Jadakiss
4,Scar Lip,Jadakiss
5,Scar Lip,Benny the Butcher
6,Scar Lip,Benny the Butcher
7,Scar Lip,Snoop Dogg
8,Scar Lip,Cardi B
0,Schoolly D,KRS-One
1,Schoolly D,Ice-T
0,Jill Scott (singer),Will Smith
1,Jill Scott (singer),Pharoahe Monch
2,Jill Scott (singer),Dr. Dre
3,Jill Scott (singer),Queen Latifah
0,DJ Scratch,Jam Master Jay
1,DJ Scratch,Busta Rhymes
2,DJ Scratch,Busta Rhymes
3,DJ Scratch,Busta Rhymes
4,DJ Scratch,Busta Rhymes
5,DJ Scratch,Busta Rhymes
6,DJ Scratch,Busta Rhymes
7,DJ Scratch,50 Cent
8,DJ Scratch,Talib Kweli
9,DJ Scratch,Talib Kweli
10,DJ Scratch,Pharoahe Monch
11,DJ Scratch,Ali Shaheed Muhammad
12,DJ Scratch,Grandmaster Flash
13,DJ Scratch,Funkmaster Flex
0,Sensato del Patio,Sky Blu (rapper)
1,Sensato del Patio,Sky Blu (rapper)
0,Erick Sermon,Redman (rapper)
1,Erick Sermon,Redman (rapper)
2,Erick Sermon,Redman (rapper)
3,Erick Sermon,DJ Scratch
4,Erick Sermon,Busta Rhymes
5,Erick Sermon,Busta Rhymes
6,Erick Sermon,Rakim
7,Erick Sermon,KRS-One
8,Erick Sermon,Chubb Rock
9,Erick Sermon,Craig Mack
0,Sha Money XL,50 Cent
1,Sha Money XL,50 Cent
2,Sha Money XL,50 Cent
3,Sha Money XL,TeeFlii
4,Sha Money XL,Half a Mill
5,Sha Money XL,Ja Rule
6,Sha Money XL,Beanie Sigel
7,Sha Money XL,Lil' Kim
8,Sha Money XL,Lloyd Banks
9,Sha Money XL,Lloyd Banks
10,Sha Money XL,Daz Dillinger
11,Sha Money XL,Snoop Dogg
12,Sha Money XL,Soopafly
13,Sha Money XL,Ron Browz
14,Sha Money XL,Tony Yayo
15,Sha Money XL,Spider Loc
16,Sha Money XL,Havoc (musician)
17,Sha Money XL,Prodigy (rapper)
18,Sha Money XL,DJ Whoo Kid
19,Sha Money XL,DJ Whoo Kid
20,Sha Money XL,Mase
21,Sha Money XL,Bobby Shmurda
22,Sha Money XL,Mac Miller
23,Sha Money XL,Domo Genesis
0,Jonathan Shecter,Redman (rapper)
1,Jonathan Shecter,Benzino
2,Jonathan Shecter,DJ Premier
0,Sheff G,Sleepy Hallow
1,Sheff G,Sleepy Hallow
2,Sheff G,Sleepy Hallow
3,Sheff G,Sleepy Hallow
4,Sheff G,22Gz
5,Sheff G,The Notorious B.I.G.
6,Sheff G,Jay Critch
7,Sheff G,Fivio Foreign
0,Bobby Shmurda,Jahlil Beats
1,Bobby Shmurda,Jahlil Beats
2,Bobby Shmurda,Uncle Murda
3,Bobby Shmurda,Uncle Murda
4,Bobby Shmurda,Lloyd Banks
5,Bobby Shmurda,Jay-Z
6,Bobby Shmurda,French Montana
7,Bobby Shmurda,French Montana
8,Bobby Shmurda,Lil' Kim
9,Bobby Shmurda,Fabolous
10,Bobby Shmurda,Jadakiss
11,Bobby Shmurda,Busta Rhymes
12,Bobby Shmurda,Meek Mill
13,Bobby Shmurda,6ix9ine
14,Bobby Shmurda,6ix9ine
15,Bobby Shmurda,Chinx
16,Bobby Shmurda,The Game (rapper)
17,Bobby Shmurda,Skeme
18,Bobby Shmurda,Ty Dolla Sign
19,Bobby Shmurda,Too Short
20,Bobby Shmurda,Juelz Santana
21,Bobby Shmurda,Dave East
0,Shock G,Tupac Shakur
1,Shock G,Tupac Shakur
2,Shock G,Ed Lover
3,Shock G,Murs (rapper)
0,Kiing Shooter,Dave East
1,Kiing Shooter,Dave East
2,Kiing Shooter,Dave East
3,Kiing Shooter,Dave East
4,Kiing Shooter,Dave East
5,Kiing Shooter,Dave East
6,Kiing Shooter,Don Q (rapper)
7,Kiing Shooter,Don Q (rapper)
8,Kiing Shooter,Don Q (rapper)
9,Kiing Shooter,Uncle Murda
10,Kiing Shooter,Uncle Murda
11,Kiing Shooter,Uncle Murda
12,Kiing Shooter,Snoop Dogg
13,Kiing Shooter,Pop Smoke
14,Kiing Shooter,Mac Dre
0,Shyne,Sean Combs
1,Shyne,Sean Combs
2,Shyne,Sean Combs
3,Shyne,Sean Combs
4,Shyne,Sean Combs
5,Shyne,Mase
6,Shyne,50 Cent
7,Shyne,50 Cent
8,Shyne,Nas
9,Shyne,Busta Rhymes
10,Shyne,Kendrick Lamar
0,Beanie Sigel,Jay-Z
1,Beanie Sigel,Jay-Z
2,Beanie Sigel,Jay-Z
3,Beanie Sigel,Young Chris
4,Beanie Sigel,Alrad Lewis
5,Beanie Sigel,Buckwild (music producer)
6,Beanie Sigel,Cam'ron
7,Beanie Sigel,50 Cent
8,Beanie Sigel,50 Cent
9,Beanie Sigel,Statik Selektah
10,Beanie Sigel,Jadakiss
11,Beanie Sigel,Meek Mill
12,Beanie Sigel,Funkmaster Flex
0,Silkski,Ol' Dirty Bastard
1,Silkski,Ol' Dirty Bastard
2,Silkski,Ice-T
3,Silkski,Ice-T
4,Silkski,Ice-T
5,Silkski,Ice-T
6,Silkski,DJ Quik
7,Silkski,Skee-Lo
8,Silkski,Ghostface Killah
9,Silkski,RZA
10,Silkski,Tupac Shakur
11,Silkski,Tupac Shakur
12,Silkski,Snoop Dogg
13,Silkski,Kurupt
14,Silkski,Daz Dillinger
15,Silkski,Cappadonna
0,Siya,Sage the Gemini
1,Siya,Fat Joe
2,Siya,Fabolous
0,DJ Skee,Kendrick Lamar
1,DJ Skee,Snoop Dogg
2,DJ Skee,Eazy-E
0,Lil Skies,Wiz Khalifa
1,Lil Skies,50 Cent
2,Lil Skies,Fetty Wap
0,Skinnyfromthe9,Fetty Wap
1,Skinnyfromthe9,Fetty Wap
2,Skinnyfromthe9,Jay Critch
3,Skinnyfromthe9,Jay Critch
4,Skinnyfromthe9,Jay Critch
5,Skinnyfromthe9,Wiz Khalifa
0,Slaine (rapper),Ed O.G.
1,Slaine (rapper),Ed O.G.
2,Slaine (rapper),Ed O.G.
3,Slaine (rapper),Danny Boy (rapper)
4,Slaine (rapper),Danny Boy (rapper)
5,Slaine (rapper),Ill Bill
6,Slaine (rapper),Ill Bill
7,Slaine (rapper),Ill Bill
8,Slaine (rapper),Termanology
9,Slaine (rapper),Termanology
10,Slaine (rapper),Kool Moe Dee
11,Slaine (rapper),Esoteric (rapper)
0,Rashad Smith (producer),Mos Def
1,Rashad Smith (producer),Busta Rhymes
2,Rashad Smith (producer),Busta Rhymes
3,Rashad Smith (producer),Busta Rhymes
4,Rashad Smith (producer),Busta Rhymes
5,Rashad Smith (producer),Busta Rhymes
6,Rashad Smith (producer),Busta Rhymes
7,Rashad Smith (producer),Busta Rhymes
8,Rashad Smith (producer),Busta Rhymes
9,Rashad Smith (producer),Busta Rhymes
10,Rashad Smith (producer),Q-Tip (musician)
11,Rashad Smith (producer),Andre Harrell
12,Rashad Smith (producer),Sean Combs
13,Rashad Smith (producer),Sean Combs
14,Rashad Smith (producer),Fat Joe
15,Rashad Smith (producer),Fat Joe
16,Rashad Smith (producer),MC Lyte
17,Rashad Smith (producer),MC Lyte
18,Rashad Smith (producer),MC Lyte
19,Rashad Smith (producer),MC Lyte
20,Rashad Smith (producer),MC Lyte
21,Rashad Smith (producer),Lil' Kim
22,Rashad Smith (producer),Lil' Kim
23,Rashad Smith (producer),Lil' Kim
24,Rashad Smith (producer),Foxy Brown (rapper)
25,Rashad Smith (producer),Foxy Brown (rapper)
26,Rashad Smith (producer),50 Cent
27,Rashad Smith (producer),50 Cent
28,Rashad Smith (producer),50 Cent
29,Rashad Smith (producer),50 Cent
30,Rashad Smith (producer),Craig Mack
31,Rashad Smith (producer),Craig Mack
32,Rashad Smith (producer),Nas
33,Rashad Smith (producer),Nas
34,Rashad Smith (producer),Big Pun
35,Rashad Smith (producer),Big Pun
36,Rashad Smith (producer),Ghostface Killah
37,Rashad Smith (producer),Ghostface Killah
38,Rashad Smith (producer),The Notorious B.I.G.
39,Rashad Smith (producer),The Notorious B.I.G.
40,Rashad Smith (producer),Yo-Yo (rapper)
41,Rashad Smith (producer),Yo-Yo (rapper)
42,Rashad Smith (producer),Yo-Yo (rapper)
43,Rashad Smith (producer),Ol' Dirty Bastard
0,Will Smith,Kool Moe Dee
0,Pop Smoke,50 Cent
1,Pop Smoke,50 Cent
2,Pop Smoke,50 Cent
3,Pop Smoke,Lil Tjay
4,Pop Smoke,Fivio Foreign
0,CL Smooth,Pete Rock
1,CL Smooth,Pete Rock
2,CL Smooth,Heavy D
3,CL Smooth,AZ (rapper)
4,CL Smooth,AZ (rapper)
5,CL Smooth,AZ (rapper)
6,CL Smooth,Sauce Money
7,CL Smooth,Sauce Money
8,CL Smooth,Sauce Money
9,CL Smooth,Big Daddy Kane
10,CL Smooth,Big Daddy Kane
11,CL Smooth,Kool G Rap
12,CL Smooth,Kool G Rap
13,CL Smooth,Q-Tip (musician)
0,Sam Sneed,Dr. Dre
1,Sam Sneed,Jay-Z
0,Sonaro,Fabolous
1,Sonaro,Fabolous
2,Sonaro,Fabolous
3,Sonaro,Fabolous
4,Sonaro,Fabolous
5,Sonaro,Fabolous
6,Sonaro,Fabolous
7,Sonaro,Fabolous
8,Sonaro,Fabolous
9,Sonaro,Fabolous
10,Sonaro,Fabolous
11,Sonaro,Fabolous
12,Sonaro,Fabolous
13,Sonaro,Fabolous
14,Sonaro,Fabolous
15,Sonaro,Fabolous
16,Sonaro,Fabolous
17,Sonaro,Fabolous
18,Sonaro,Fabolous
19,Sonaro,Fabolous
20,Sonaro,Fabolous
21,Sonaro,Fabolous
22,Sonaro,Fabolous
23,Sonaro,Fabolous
24,Sonaro,French Montana
25,Sonaro,French Montana
26,Sonaro,French Montana
27,Sonaro,French Montana
28,Sonaro,Dave East
29,Sonaro,Dave East
30,Sonaro,Dave East
31,Sonaro,Dave East
32,Sonaro,Jadakiss
33,Sonaro,Jadakiss
34,Sonaro,Jadakiss
35,Sonaro,Jadakiss
36,Sonaro,Styles P
37,Sonaro,Styles P
38,Sonaro,Styles P
39,Sonaro,Flipp Dinero
40,Sonaro,Flipp Dinero
41,Sonaro,Lloyd Banks
42,Sonaro,Lloyd Banks
43,Sonaro,Lloyd Banks
44,Sonaro,Lloyd Banks
45,Sonaro,Prodigy (rapper)
46,Sonaro,Prodigy (rapper)
47,Sonaro,Meek Mill
48,Sonaro,Meek Mill
49,Sonaro,Lil' Kim
50,Sonaro,DJ Drama
51,Sonaro,Jahlil Beats
52,Sonaro,Joe Budden
53,Sonaro,Joe Budden
54,Sonaro,Teyana Taylor
55,Sonaro,Teyana Taylor
56,Sonaro,Funkmaster Flex
57,Sonaro,Fat Joe
58,Sonaro,50 Cent
0,Spank Rock,Le1f
1,Spank Rock,Le1f
2,Spank Rock,Mos Def
0,Special K (rapper),Spoonie Gee
1,Special K (rapper),Spoonie Gee
2,Special K (rapper),Kool Moe Dee
3,Special K (rapper),Doug E. Fresh
4,Special K (rapper),Ed O.G.
0,Jimmy Spicer,Busta Rhymes
0,Spoonie Gee,Kool Moe Dee
1,Spoonie Gee,Schoolly D
2,Spoonie Gee,Marley Marl
0,Spose,Chris Webby
1,Spose,Termanology
0,Busy Bee Starski,Melle Mel
1,Busy Bee Starski,Melle Mel
2,Busy Bee Starski,Afrika Bambaataa
3,Busy Bee Starski,Afrika Bambaataa
4,Busy Bee Starski,KRS-One
5,Busy Bee Starski,KRS-One
6,Busy Bee Starski,KRS-One
7,Busy Bee Starski,KRS-One
8,Busy Bee Starski,Kool Moe Dee
9,Busy Bee Starski,Marley Marl
10,Busy Bee Starski,Marley Marl
11,Busy Bee Starski,Ice-T
12,Busy Bee Starski,Funkmaster Flex
0,Statik Selektah,Action Bronson
1,Statik Selektah,Action Bronson
2,Statik Selektah,Freddie Foxxx
3,Statik Selektah,CJ Fly
4,Statik Selektah,CJ Fly
5,Statik Selektah,Joey Badass
6,Statik Selektah,Crooked I
7,Statik Selektah,Crooked I
8,Statik Selektah,Saigon (rapper)
9,Statik Selektah,Saigon (rapper)
10,Statik Selektah,Slaine (rapper)
11,Statik Selektah,Slaine (rapper)
12,Statik Selektah,Termanology
13,Statik Selektah,Termanology
14,Statik Selektah,Termanology
15,Statik Selektah,Termanology
16,Statik Selektah,DJ Premier
17,Statik Selektah,Funkmaster Flex
18,Statik Selektah,Mac Miller
19,Statik Selektah,Reks
0,David Stones,Buckshot (rapper)
1,David Stones,Buckshot (rapper)
2,David Stones,50 Cent
3,David Stones,No Malice
4,David Stones,Jay-Z
5,David Stones,Nas
6,David Stones,AZ (rapper)
7,David Stones,Snoop Dogg
8,David Stones,Dr. Dre
0,Street Life (rapper),Method Man
1,Street Life (rapper),Method Man
2,Street Life (rapper),Method Man
3,Street Life (rapper),Method Man
4,Street Life (rapper),Ghostface Killah
5,Street Life (rapper),Ghostface Killah
6,Street Life (rapper),Cappadonna
7,Street Life (rapper),Mathematics (producer)
8,Street Life (rapper),Inspectah Deck
9,Street Life (rapper),RZA
10,Street Life (rapper),GZA
11,Street Life (rapper),Masta Killa
0,DJ Stretch Armstrong,Nas
1,DJ Stretch Armstrong,Big Pun
2,DJ Stretch Armstrong,Jay-Z
3,DJ Stretch Armstrong,Busta Rhymes
4,DJ Stretch Armstrong,Fat Joe
5,DJ Stretch Armstrong,Cam'ron
6,DJ Stretch Armstrong,Talib Kweli
7,DJ Stretch Armstrong,Big L
8,DJ Stretch Armstrong,The Notorious B.I.G.
0,Swizz Beatz,Cassidy (rapper)
1,Swizz Beatz,Cassidy (rapper)
2,Swizz Beatz,Cassidy (rapper)
3,Swizz Beatz,Eve (rapper)
4,Swizz Beatz,Jay-Z
5,Swizz Beatz,Jay-Z
6,Swizz Beatz,Styles P
7,Swizz Beatz,Busta Rhymes
8,Swizz Beatz,Drag-On
9,Swizz Beatz,Jadakiss
10,Swizz Beatz,Rakim
11,Swizz Beatz,Pusha T
12,Swizz Beatz,Dr. Dre
13,Swizz Beatz,Nas
14,Swizz Beatz,ASAP Rocky
15,Swizz Beatz,Kendrick Lamar
0,Yhaunai Takiyal,Flying Lotus
1,Yhaunai Takiyal,Flying Lotus
0,Teyana Taylor,Fabolous
1,Teyana Taylor,Fabolous
